state,program,Investment Type,Investment Dollars,Number of Investments
Delaware,Multifamily Housing,Grant Funds,"190,085",1
Delaware,Multifamily Housing,Grant Funds,"180,729",1
Delaware,Multifamily Housing,Grant Funds,"420,147",1
Delaware,Multifamily Housing,Grant Funds,"997,758",1
Delaware,Multifamily Housing,Grant Funds,"271,858",1
Delaware,Multifamily Housing,Grant Funds,"205,404",1
Delaware,Multifamily Housing,Grant Funds,"99,827",1
Delaware,Multifamily Housing,Grant Funds,"154,973",1
Delaware,Multifamily Housing,Grant Funds,"109,675",1
Delaware,Multifamily Housing,Grant Funds,"219,488",1
Delaware,Single Family Housing,Loan Funds - Direct,"285,000",1
Delaware,Single Family Housing,Loan Funds - Direct,"1,064,000",3
Delaware,Single Family Housing,Loan Funds - Direct,"1,886,290",6
Delaware,Single Family Housing,Loan Funds - Direct,"1,511,730",6
Delaware,Single Family Housing,Loan Funds - Direct,"305,000",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"621,211",2
Delaware,Single Family Housing,Loan Funds - Guaranteed,"267,676",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"821,211",3
Delaware,Single Family Housing,Loan Funds - Guaranteed,"560,605",2
Delaware,Single Family Housing,Loan Funds - Guaranteed,"281,818",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"129,797",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"282,828",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"316,656",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"206,220",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"348,484",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"297,979",1
Delaware,Single Family Housing,Loan Funds - Guaranteed,"779,796",3
Delaware,Single Family Housing,Loan Funds - Guaranteed,"290,404",1
Florida,Multifamily Housing,Grant Funds,"188,705",1
Florida,Multifamily Housing,Grant Funds,"7,524",1
Florida,Multifamily Housing,Grant Funds,"60,856",1
Florida,Multifamily Housing,Grant Funds,"108,804",1
Florida,Multifamily Housing,Grant Funds,"222,685",1
Florida,Single Family Housing,Loan Funds - Direct,"357,400",1
Florida,Single Family Housing,Loan Funds - Direct,"431,600",2
Florida,Single Family Housing,Loan Funds - Direct,"226,000",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"73,328",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"264,646",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"625,722",3
Florida,Single Family Housing,Loan Funds - Guaranteed,"295,887",1
Florida,Single Family Housing,Grant Funds,"10,000",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"421,514",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"191,919",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"279,797",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"242,424",1
Florida,Single Family Housing,Grant Funds,"10,000",1
Florida,Single Family Housing,Loan Funds - Direct,"7,388",1
Florida,Multifamily Housing,Grant Funds,"7,704",1
Florida,Multifamily Housing,Grant Funds,"9,756",1
Florida,Multifamily Housing,Grant Funds,"9,540",1
Florida,Multifamily Housing,Grant Funds,"109,824",14
Florida,Multifamily Housing,Grant Funds,"5,616",1
Florida,Multifamily Housing,Grant Funds,"3,648",1
Florida,Multifamily Housing,Grant Funds,"7,836",1
Florida,Multifamily Housing,Grant Funds,"9,600",1
Florida,Multifamily Housing,Grant Funds,"6,948",1
Florida,Multifamily Housing,Grant Funds,"9,756",1
Florida,Multifamily Housing,Grant Funds,"15,408",2
Florida,Multifamily Housing,Grant Funds,"9,756",1
Florida,Multifamily Housing,Grant Funds,"9,756",1
Florida,Multifamily Housing,Grant Funds,"9,756",1
Florida,Multifamily Housing,Grant Funds,"9,756",1
Florida,Multifamily Housing,Grant Funds,"9,756",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"310,757",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"299,103",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"247,474",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"213,131",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"267,676",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"212,121",1
Florida,Business Programs,Grant Funds,"338,163",1
Florida,Multifamily Housing,Grant Funds,"250,479",1
Florida,Multifamily Housing,Grant Funds,"119,680",1
Florida,Multifamily Housing,Grant Funds,"217,110",1
Florida,Multifamily Housing,Grant Funds,"96,874",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"246,464",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"227,272",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"282,828",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"131,313",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"229,292",1
Florida,Business Programs,Grant Funds,"47,500",1
Florida,Multifamily Housing,Grant Funds,"1,179,146",1
Florida,Multifamily Housing,Grant Funds,"6,120",1
Florida,Multifamily Housing,Grant Funds,"16,872",1
Florida,Business Programs,Grant Funds,"242,250",1
Florida,Multifamily Housing,Grant Funds,"4,956",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"270,707",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"161,616",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"277,777",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"212,121",1
Florida,Multifamily Housing,Grant Funds,"264,311",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"260,707",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"259,595",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"550,357",2
Florida,Multifamily Housing,Grant Funds,"218,174",1
Florida,Multifamily Housing,Grant Funds,"450,179",1
Florida,Multifamily Housing,Grant Funds,"135,398",1
Florida,Multifamily Housing,Grant Funds,"141,150",1
Florida,Multifamily Housing,Grant Funds,"1,448,433",1
Florida,Multifamily Housing,Grant Funds,"117,233",1
Florida,Multifamily Housing,Grant Funds,"109,365",1
Florida,Multifamily Housing,Grant Funds,"206,247",1
Florida,Multifamily Housing,Grant Funds,"87,343",1
Florida,Single Family Housing,Loan Funds - Direct,"846,200",4
Florida,Single Family Housing,Loan Funds - Direct,"159,324",1
Florida,Single Family Housing,Loan Funds - Direct,"284,900",1
Florida,Single Family Housing,Loan Funds - Direct,"200,000",1
Florida,Single Family Housing,Loan Funds - Direct,"165,000",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"739,280",3
Florida,Single Family Housing,Loan Funds - Guaranteed,"268,343",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"307,828",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"231,111",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"514,645",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"328,282",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"252,525",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"308,080",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"204,040",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"1,253,532",6
Florida,Single Family Housing,Loan Funds - Guaranteed,"212,121",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"260,101",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"160,606",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"390,908",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"202,020",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"265,656",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"257,565",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"455,575",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"252,424",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"575,560",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"252,525",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"188,383",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"151,515",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"212,121",1
Florida,Single Family Housing,Grant Funds,"10,000",1
Florida,Single Family Housing,Grant Funds,"48,890",5
Florida,Single Family Housing,Loan Funds - Direct,"1,250",1
Florida,Single Family Housing,Loan Funds - Direct,"3,920",1
Florida,Single Family Housing,Loan Funds - Direct,"133,870",1
Florida,Single Family Housing,Grant Funds,"8,700",1
Florida,Multifamily Housing,Grant Funds,"196,966",1
Florida,Multifamily Housing,Grant Funds,"298,622",1
Florida,Multifamily Housing,Grant Funds,"242,191",1
Florida,Single Family Housing,Loan Funds - Direct,"303,856",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"217,171",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"292,929",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"612,100",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"635,265",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"317,171",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"348,484",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"203,535",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"191,818",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"292,929",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"334,679",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"272,424",1
Florida,Single Family Housing,Grant Funds,"10,000",1
Florida,Single Family Housing,Loan Funds - Direct,"1,400",1
Florida,Multifamily Housing,Grant Funds,"414,088",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"361,111",1
Florida,Single Family Housing,Grant Funds,"11,731",1
Florida,Multifamily Housing,Grant Funds,"393,343",1
Florida,Multifamily Housing,Grant Funds,"302,005",1
Florida,Multifamily Housing,Grant Funds,"1,760,633",1
Florida,Multifamily Housing,Grant Funds,"248,007",1
Florida,Multifamily Housing,Grant Funds,"192,659",1
Florida,Multifamily Housing,Grant Funds,"208,974",1
Florida,Business Programs,Grant Funds,"3,999,200",1
Florida,Business Programs,Grant Funds,"99,000",1
Florida,Multifamily Housing,Grant Funds,"304,293",1
Florida,Multifamily Housing,Grant Funds,"222,709",1
Florida,Multifamily Housing,Grant Funds,"290,220",1
Florida,Multifamily Housing,Grant Funds,"189,164",1
Florida,Multifamily Housing,Grant Funds,"181,288",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"326,767",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"168,631",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"166,666",1
Florida,Single Family Housing,Grant Funds,"10,000",1
Florida,Single Family Housing,Grant Funds,"4,867",1
Florida,Multifamily Housing,Grant Funds,"317,798",1
Florida,Multifamily Housing,Grant Funds,"259,235",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"160,606",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"393,938",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"608,584",2
Florida,Single Family Housing,Grant Funds,"31,141",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"110,303",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"212,121",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"232,323",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"252,515",1
Florida,Multifamily Housing,Grant Funds,"822,595",1
Florida,Multifamily Housing,Grant Funds,"289,017",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"315,151",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"791,615",3
Florida,Single Family Housing,Loan Funds - Guaranteed,"217,171",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"1,029,272",3
Florida,Single Family Housing,Loan Funds - Guaranteed,"175,000",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"194,949",1
Florida,Multifamily Housing,Grant Funds,"227,470",1
Florida,Multifamily Housing,Grant Funds,"8,184",1
Florida,Multifamily Housing,Grant Funds,"416,994",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"180,808",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"287,878",1
Florida,Multifamily Housing,Grant Funds,"218,911",1
Florida,Multifamily Housing,Grant Funds,"415,850",1
Florida,Multifamily Housing,Grant Funds,"307,254",1
Florida,Business Programs,Grant Funds,"274,329",1
Florida,Multifamily Housing,Grant Funds,"21,960",3
Florida,Multifamily Housing,Grant Funds,"7,524",1
Florida,Multifamily Housing,Grant Funds,"259,203",1
Florida,Multifamily Housing,Grant Funds,"257,544",1
Florida,Multifamily Housing,Grant Funds,"9,864",1
Florida,Multifamily Housing,Grant Funds,"8,196",1
Florida,Multifamily Housing,Grant Funds,"7,116",1
Florida,Multifamily Housing,Grant Funds,"15,816",2
Florida,Multifamily Housing,Grant Funds,"6,564",1
Florida,Multifamily Housing,Grant Funds,"5,424",1
Florida,Multifamily Housing,Grant Funds,"14,448",2
Florida,Multifamily Housing,Grant Funds,"8,448",1
Florida,Multifamily Housing,Grant Funds,"279,594",1
Florida,Multifamily Housing,Grant Funds,"7,032",2
Florida,Multifamily Housing,Grant Funds,"8,448",1
Florida,Multifamily Housing,Grant Funds,"9,000",1
Florida,Multifamily Housing,Grant Funds,"9,864",1
Florida,Multifamily Housing,Grant Funds,"7,848",1
Florida,Multifamily Housing,Grant Funds,"226,345",1
Florida,Multifamily Housing,Grant Funds,"230,691",1
Florida,Multifamily Housing,Grant Funds,"9,252",1
Florida,Multifamily Housing,Grant Funds,"303,145",1
Florida,Multifamily Housing,Grant Funds,"256,040",1
Florida,Multifamily Housing,Grant Funds,"9,864",1
Florida,Multifamily Housing,Grant Funds,"9,036",1
Florida,Single Family Housing,Loan Funds - Direct,"262,500",1
Florida,Single Family Housing,Loan Funds - Direct,"240,000",1
Florida,Single Family Housing,Loan Funds - Direct,"61,415",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"297,979",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"368,686",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"182,828",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"148,484",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"93,686",1
Florida,Single Family Housing,Grant Funds,"30,350",1
Florida,Single Family Housing,Grant Funds,"40,675",1
Florida,Single Family Housing,Loan Funds - Direct,"152,000",1
Florida,Single Family Housing,Loan Funds - Direct,"6,100",1
Florida,Community Facilities,Grant Funds,"64,000",1
Florida,Multifamily Housing,Grant Funds,"191,846",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"207,070",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"342,424",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"148,484",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"281,818",1
Florida,Multifamily Housing,Grant Funds,"240,490",1
Florida,Multifamily Housing,Grant Funds,"146,589",1
Florida,Multifamily Housing,Grant Funds,"304,254",1
Florida,Multifamily Housing,Grant Funds,"157,444",1
Florida,Multifamily Housing,Grant Funds,"206,704",1
Florida,Multifamily Housing,Grant Funds,"254,801",1
Florida,Multifamily Housing,Grant Funds,"146,253",1
Florida,Multifamily Housing,Grant Funds,"337,532",1
Florida,Multifamily Housing,Grant Funds,"596,638",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"217,171",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"251,515",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"256,565",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"189,797",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"237,373",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"492,424",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"242,424",1
Florida,Multifamily Housing,Grant Funds,"286,675",1
Florida,Multifamily Housing,Grant Funds,"231,414",1
Florida,Multifamily Housing,Grant Funds,"356,276",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"562,625",3
Florida,Single Family Housing,Loan Funds - Guaranteed,"261,616",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"291,717",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"383,838",1
Florida,Multifamily Housing,Grant Funds,"6,120",1
Florida,Multifamily Housing,Grant Funds,"6,048",1
Florida,Multifamily Housing,Grant Funds,849,1
Florida,Multifamily Housing,Grant Funds,"429,620",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"378,777",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"272,727",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"285,959",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"166,565",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"814,392",3
Florida,Single Family Housing,Loan Funds - Guaranteed,"219,922",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"303,030",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"212,474",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"318,181",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"668,584",3
Florida,Single Family Housing,Grant Funds,"40,000",1
Florida,Multifamily Housing,Grant Funds,"258,052",1
Florida,Multifamily Housing,Grant Funds,"191,748",1
Florida,Multifamily Housing,Grant Funds,"353,604",1
Florida,Multifamily Housing,Grant Funds,"255,005",1
Florida,Multifamily Housing,Grant Funds,"371,327",1
Florida,Multifamily Housing,Grant Funds,"27,708",5
Florida,Multifamily Housing,Grant Funds,"6,000",1
Florida,Multifamily Housing,Grant Funds,"348,304",1
Florida,Multifamily Housing,Grant Funds,"5,136",1
Florida,Multifamily Housing,Grant Funds,"5,172",1
Florida,Multifamily Housing,Grant Funds,"296,736",1
Florida,Multifamily Housing,Grant Funds,"395,309",1
Florida,Multifamily Housing,Grant Funds,"6,492",1
Florida,Multifamily Housing,Grant Funds,"202,944",33
Florida,Multifamily Housing,Grant Funds,"17,268",3
Florida,Single Family Housing,Loan Funds - Direct,"600,130",2
Florida,Single Family Housing,Loan Funds - Direct,"206,550",1
Florida,Single Family Housing,Loan Funds - Direct,"339,520",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"222,222",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"303,030",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"721,210",3
Florida,Single Family Housing,Loan Funds - Guaranteed,"3,055,070",15
Florida,Single Family Housing,Loan Funds - Guaranteed,"254,545",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"253,535",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"282,828",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"111,111",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"1,912,724",9
Florida,Single Family Housing,Loan Funds - Guaranteed,"446,767",2
Florida,Single Family Housing,Grant Funds,"17,800",2
Florida,Single Family Housing,Grant Funds,"6,503",1
Florida,Single Family Housing,Grant Funds,"10,800",1
Florida,Single Family Housing,Grant Funds,"109,564",4
Florida,Single Family Housing,Grant Funds,"30,421",2
Florida,Multifamily Housing,Grant Funds,"297,086",1
Florida,Single Family Housing,Loan Funds - Direct,"284,000",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"287,878",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"295,959",1
Florida,Multifamily Housing,Grant Funds,"444,974",1
Florida,Single Family Housing,Loan Funds - Direct,"240,000",1
Florida,Single Family Housing,Loan Funds - Direct,"582,640",2
Florida,Single Family Housing,Loan Funds - Direct,"789,128",3
Florida,Single Family Housing,Loan Funds - Direct,"281,078",1
Florida,Single Family Housing,Loan Funds - Direct,"260,400",1
Florida,Multifamily Housing,Grant Funds,"236,025",1
Florida,Multifamily Housing,Grant Funds,"126,619",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"134,343",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"124,141",1
Florida,Multifamily Housing,Grant Funds,"495,895",1
Florida,Multifamily Housing,Grant Funds,"515,595",1
Florida,Multifamily Housing,Grant Funds,"304,307",1
Florida,Multifamily Housing,Grant Funds,"437,111",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"190,909",1
Florida,Multifamily Housing,Grant Funds,"162,210",1
Florida,Multifamily Housing,Grant Funds,"206,012",1
Florida,Multifamily Housing,Grant Funds,"235,797",1
Florida,Multifamily Housing,Grant Funds,"520,110",1
Florida,Multifamily Housing,Grant Funds,"214,491",1
Florida,Single Family Housing,Loan Funds - Direct,"91,000",1
Florida,Single Family Housing,Loan Funds - Direct,"200,000",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"92,929",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"227,272",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"83,333",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"207,070",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"174,747",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"262,626",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"324,746",2
Florida,Single Family Housing,Grant Funds,"7,500",1
Florida,Business Programs,Grant Funds,"148,800",1
Florida,Multifamily Housing,Grant Funds,"219,641",1
Florida,Multifamily Housing,Grant Funds,"276,722",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"186,868",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"176,767",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"342,424",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"80,808",1
Florida,Multifamily Housing,Grant Funds,"6,744",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"183,838",1
Florida,Business Programs,Grant Funds,"602,725",1
Florida,Multifamily Housing,Grant Funds,"87,926",1
Florida,Multifamily Housing,Grant Funds,"292,491",1
Florida,Multifamily Housing,Grant Funds,"581,636",1
Florida,Multifamily Housing,Grant Funds,"313,627",1
Florida,Multifamily Housing,Grant Funds,"3,300",1
Florida,Multifamily Housing,Grant Funds,"283,361",1
Florida,Multifamily Housing,Grant Funds,"13,512",2
Florida,Multifamily Housing,Grant Funds,"7,260",1
Florida,Multifamily Housing,Grant Funds,"200,720",1
Florida,Multifamily Housing,Grant Funds,"10,740",2
Florida,Multifamily Housing,Grant Funds,"172,829",26
Florida,Multifamily Housing,Grant Funds,"8,028",1
Florida,Multifamily Housing,Grant Funds,"251,251",1
Florida,Multifamily Housing,Grant Funds,"7,152",1
Florida,Multifamily Housing,Grant Funds,"2,868",1
Florida,Multifamily Housing,Grant Funds,"6,756",1
Florida,Multifamily Housing,Grant Funds,"746,873",1
Florida,Single Family Housing,Loan Funds - Direct,"240,485",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"232,323",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"238,888",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"227,272",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"238,989",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"242,323",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"257,575",1
Florida,Single Family Housing,Grant Funds,"9,300",1
Florida,Single Family Housing,Grant Funds,"19,350",2
Florida,Single Family Housing,Loan Funds - Direct,"4,000",1
Florida,Multifamily Housing,Grant Funds,"12,600",3
Florida,Multifamily Housing,Grant Funds,"275,731",1
Florida,Multifamily Housing,Grant Funds,"149,186",1
Florida,Multifamily Housing,Grant Funds,"202,915",1
Florida,Multifamily Housing,Grant Funds,"242,865",1
Florida,Multifamily Housing,Grant Funds,"331,011",1
Florida,Multifamily Housing,Grant Funds,"9,324",1
Florida,Multifamily Housing,Grant Funds,"7,932",2
Florida,Multifamily Housing,Grant Funds,"269,799",1
Florida,Multifamily Housing,Grant Funds,"231,030",1
Florida,Multifamily Housing,Grant Funds,"3,876",1
Florida,Multifamily Housing,Grant Funds,"3,180",1
Florida,Multifamily Housing,Grant Funds,"314,820",1
Florida,Multifamily Housing,Grant Funds,"420,658",1
Florida,Multifamily Housing,Grant Funds,"151,665",1
Florida,Multifamily Housing,Grant Funds,"232,465",1
Florida,Single Family Housing,Loan Funds - Direct,"311,861",1
Florida,Single Family Housing,Loan Funds - Direct,"220,320",1
Florida,Single Family Housing,Loan Funds - Direct,"13,947",1
Florida,Single Family Housing,Loan Funds - Direct,"189,000",2
Florida,Single Family Housing,Loan Funds - Direct,"232,500",1
Florida,Single Family Housing,Loan Funds - Direct,"425,587",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"343,434",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"504,544",2
Florida,Single Family Housing,Loan Funds - Guaranteed,"202,020",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"312,121",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"424,141",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"282,727",1
Florida,Single Family Housing,Loan Funds - Guaranteed,"241,414",1
Florida,Single Family Housing,Grant Funds,"16,865",2
Florida,Single Family Housing,Grant Funds,"9,750",1
Florida,Single Family Housing,Loan Funds - Direct,550,1
Florida,Single Family Housing,Loan Funds - Direct,"298,918",1
